path,zone,trust,auto_generated,has_citations_frontmatter,proposed_tag
entities/agencies/test-agency-xyz.md,entities,trusted,n,y,ARCHIVE
entities/company/kbr-services-readiness-sustainment.md,entities,trusted,n,y,KEEP
entities/competitors/example-competitor-llc.md,entities,trusted,n,y,ARCHIVE
entities/INDEX.md,entities,,n,n,KEEP
foundation/capture-llm-wiki.md,foundation,,n,n,REWRITE
foundation/reference/briefing-packet-data-dictionary.md,foundation,,n,n,REWRITE
foundation/reference/briefing-packet-model.md,foundation,,n,n,REWRITE
foundation/reference/obsidian-desktop.md,foundation,,n,n,REWRITE
generated-projections/eden-edge-computing-candidate.md,generated-projections,candidate,n,y,KEEP
generated-projections/INDEX.md,generated-projections,,n,n,KEEP
global/domain_intel/capabilities/active-gwac-and-idiq-holdings.md,capabilities,trusted,y,n,RESCOUT
global/domain_intel/capabilities/afcap-contract-heritage.md,capabilities,trusted,y,n,RESCOUT
global/domain_intel/capabilities/artemis-uas.md,capabilities,trusted,y,n,RESCOUT
global/domain_intel/capabilities/artificial-intelligence-capability.md,capabilities,trusted,y,n,RESCOUT
global/domain_intel/capabilities/athena-data-management-suite.md,capabilities,trusted,y,n,RESCOUT
global/domain_intel/capabilities/autonomous-systems-capability.md,capabilities,trusted,y,n,RESCOUT
global/domain_intel/capabilities/capabilities-catalog.md,capabilities,trusted,n,n,RESCOUT
global/domain_intel/capabilities/cleanspend-carbon-analysis.md,capabilities,trusted,y,n,RESCOUT
global/domain_intel/capabilities/cleared-workforce-at-scale-discriminator.md,capabilities,trusted,y,n,RESCOUT
global/domain_intel/capabilities/cleared-workforce.md,capabilities,trusted,y,n,RESCOUT
global/domain_intel/capabilities/cmmc-certification-status.md,capabilities,trusted,y,n,RESCOUT
global/domain_intel/capabilities/crystalvista.md,capabilities,trusted,y,n,RESCOUT
global/domain_intel/capabilities/csom-scheduling-optimization-module.md,capabilities,trusted,y,n,RESCOUT
global/domain_intel/capabilities/cybersecurity-capability.md,capabilities,trusted,y,n,RESCOUT
global/domain_intel/capabilities/dash-c3-decision-support.md,capabilities,trusted,y,n,RESCOUT
global/domain_intel/capabilities/data-analytics-capability.md,capabilities,trusted,y,n,RESCOUT
global/domain_intel/capabilities/digital-engineering-capability.md,capabilities,trusted,y,n,RESCOUT
global/domain_intel/capabilities/dod-srg-impact-level-5-authorization-vaault.md,capabilities,trusted,y,n,RESCOUT
global/domain_intel/capabilities/encompass-digital-twin-platform.md,capabilities,trusted,y,n,RESCOUT
global/domain_intel/capabilities/enterprise-technology-capability.md,capabilities,trusted,y,n,RESCOUT
global/domain_intel/capabilities/fedramp-high-authorization-vaault.md,capabilities,trusted,y,n,RESCOUT
global/domain_intel/capabilities/fedramp-high-plus-il5-discriminator.md,capabilities,trusted,y,n,RESCOUT
global/domain_intel/capabilities/hal-adaptive-learning-framework.md,capabilities,trusted,y,n,RESCOUT
global/domain_intel/capabilities/hundred-plus-digital-initiatives-proof-point.md,capabilities,trusted,y,n,RESCOUT
global/domain_intel/capabilities/insite-remote-operations-platform.md,capabilities,trusted,y,n,RESCOUT
global/domain_intel/capabilities/intelligent-asset-management-iam.md,capabilities,trusted,y,n,RESCOUT
